card_code,base_code,canonical_card_code,,,,
"02AZ3377_NATURAL PLANET      CW_3787 STOCKTON HILL ROAD; #A, KINGMAN, AZ 86409",02AZ3377,02AZ3377,,,,
"02AZ3377_NATURAL PLANET     CW_3787 STOCKTON HILL RD, KINGMAN, AZ 86409",02AZ3377,02AZ3377,,,,
"02AZ3377_NATURAL PLANET_72 ATHENS BOAT CLUB RD, DAWSONVILLE, GA 30534",02AZ3377,"02AZ3377_NATURAL PLANET_72 ATHENS BOAT CLUB RD, DAWSONVILLE, GA 30534",,,,
"02AZ3377_NATURAL PLANET_3787 STOCKTON HILL RD, KINGMAN, AZ 86409",02AZ3377,02AZ3377,,,,
"02MO5423_NATURE'S WONDERS LLC_1601 HWY 248, BRANSON, MO 65616",02MO5423,02MO5423,,,,
"02MO5423_NATURES WONDERS    W  CW_910 HWY 62-65 N, HARRISON, AR 72662",02MO5423,"02MO5423_NATURES WONDERS LLC_910 A HWY 65 N, HARRISON, AR 72601",,,,
"02MO5423_NATURES WONDERS LLC_910 A HWY 65 N, HARRISON, AR 72601",02MO5423,"02MO5423_NATURES WONDERS LLC_910 A HWY 65 N, HARRISON, AR 72601",,,,
"02MO5423_NATURES WONDERS_1601 HWY 248, BRANSON, MO 65616",02MO5423,02MO5423,,,,
"02OK1347_AKIN'S - BIXBY_12003 S MEMORIAL DR, BIXBY, OK 74008",02OK1347,02OK1347,,,,
"02OK1347_AKIN'S - FONTANA_7807 EAST 51ST ST, TULSA, OK 74145",02OK1347,"02OK1347_AKIN'S - FONTANA_7807 EAST 51ST ST, TULSA, OK 74145",,,,
"02OK1347_AKIN'S - NEWPORT_3321 E 31ST ST, TULSA, OK 74135",02OK1347,"02OK1347_AKIN'S - NEWPORT_3321 E 31ST ST, TULSA, OK 74135",,,,
"02OK1347_AKIN'S NATURAL FOODS BIXBY - BIX_12003 S MEMORIAL DRIVE, BIXBY, OK 74008",02OK1347,"02OK1347_AKIN'S NATURAL FOODS BIXBY - BIX_12003 S MEMORIAL DRIVE, BIXBY, OK 74008",,,,
"02OK1347_AKIN'S NATURAL FOODS FONTANA - FON_7807 E 51ST ST, TULSA, OK 74145",02OK1347,"02OK1347_AKIN'S - FONTANA_7807 EAST 51ST ST, TULSA, OK 74145",,,,
"02OK1347_AKIN'S NATURAL FOODS NEWPORT - NEW_3321 E. 31ST STREET, TULSA, OK 74135",02OK1347,"02OK1347_AKIN'S - NEWPORT_3321 E 31ST ST, TULSA, OK 74135",,,,
"02OK1347_CHAMBERLIN'S - ALTAMONTE_1086 MONTGOMERY RD, ALTAMONTE SPRINGS, FL 32714",02OK1347,"02OK1347_CHAMBERLIN'S - ALTAMONTE_1086 MONTGOMERY RD, ALTAMONTE SPRINGS, FL 32714",,,,
"02OK1347_CHAMBERLINS LAKEWOOD RANCH_6574 UNIVERSITY PARKWAY SUITE 100, SARASOTA, FL 34240",02OK1347,"02OK1347_CHAMBERLINS LAKEWOOD RANCH_6574 UNIVERSITY PARKWAY SUITE 100, SARASOTA, FL 34240",,,,
"02OK1347_CHAMBERLINS LWR_6574 UNIVERSITY PKWY, SARASOTA, FL 34240",02OK1347,"02OK1347_CHAMBERLINS LAKEWOOD RANCH_6574 UNIVERSITY PARKWAY SUITE 100, SARASOTA, FL 34240",,,,
"02OK1347_CHAMBERLINS-ALTAMONTE SPRINGS(AKIN'S NATURAL FOODS) - ALT_1086 MONTGOMERY RD., ALTAMONTE SPRINGS, FL 32714",02OK1347,"02OK1347_CHAMBERLIN'S - ALTAMONTE_1086 MONTGOMERY RD, ALTAMONTE SPRINGS, FL 32714",,,,
"02AR5263_THE TRUCK PATCH_PO BOX 1569, MOUNTAIN HOME, AR 72653",02AR5263,02AR5263,,,,
"02AR5263_TRUCK PATCH_1602 HWY 62 E, MOUNTAIN HOME, AR 72653",02AR5263,02AR5263,,,,
"02MI0852_HEALTH HUTT 1    W +  CW_PO BOX 5, HOLTON, MI 49425",02MI0852,"02MI0852_HEALTH HUTT 1    W +  CW_PO BOX 5, HOLTON, MI 49425",,,,
"02MI0852_NATURAL HEALTH MART_1519 E RIVER RD STE D, MUSKEGON, MI 49445",02MI0852,"02MI0852_NATURAL HEALTH MART_1519 E RIVER RD STE D, MUSKEGON, MI 49445",,,,
"02MO8554_HERB SHOP_PO BOX 2176, BRANSON WEST, MO 65737",02MO8554,"02MO8554_HERB SHOP_PO BOX 2176, BRANSON WEST, MO 65737",,,,
"02MO8554_THE HERB SHOP_11016 E STATE HIGHWAY 76, REEDS SPRING, MO 65737-9775",02MO8554,"02MO8554_THE HERB SHOP_11016 E STATE HIGHWAY 76, REEDS SPRING, MO 65737-9775",,,,
"02OH0157_NATURE'S CORNER_133 N. WAYNE ST., FORT RECOVERY, OH 45846",02OH0157,"02OH0157_NATURE'S CORNER_133 N. WAYNE ST., FORT RECOVERY, OH 45846",,,,
"02OH0157_NATURES CORNER_PO BOX 270, FT RECOVERY, OH 45846",02OH0157,"02OH0157_NATURES CORNER_PO BOX 270, FT RECOVERY, OH 45846",,,,
"02TX0855_BLUE WATER NATURAL FOODS, INC_PO BOX 343, ALPINE, TX 79831",02TX0855,02TX0855,,,,
"02TX0855_BLUE WATER NATURAL FOODS_45978 STATE HIGHWAY 118, ALPINE, TX 79830",02TX0855,02TX0855,,,,
"02TX0855_BLUE WATER NATURAL FOODS_po box 343, ALPINE, TX 79830",02TX0855,02TX0855,,,,
"02UT0305_SHIRLYN'S NAT FOODS-TAYLOR_5578 S REDWOOD RD STE A, TAYLORSVILLE, UT 84123",02UT0305,02UT0305,,,,
"02UT0305_SHIRLYN'S NAT FOODS-TAYLOR_5578 SOUTH REDWOOD ROAD, TAYLORSVILLE, UT 84123",02UT0305,02UT0305,,,,
"02UT0305_SHIRLYN'S NATURAL FDS 2_5578 S REDWOOD RD, TAYLORSVILLE, UT 84123",02UT0305,02UT0305,,,,
"02UT0305_SHIRLYNS NATURAL FOODS TAYLORSVILLE_nan, TAYLORSVILLE, UT 84123",02UT0305,02UT0305,,,,
"02WI6900_FITNESS NUTRITION CENTER @_nan, MONROE, WI 53566",02WI6900,02WI6900,,,,
"02WI6900_FITNESS NUTRITION CENTER_640 4TH AVE, MONROE, WI 53566",02WI6900,02WI6900,,,,
