card_code,store_name,store_address
02AK0097,A ROGUES GARDEN,"354 FAIRBANKS ST, VALDEZ, AK 99686"
02AK1444,NATURAL PANTRY-MIDTOWN,"3680 BARROW ST, ANCHORAGE, AK 99503"
02AK4677,CACTUS FLATS,"146 WEST REZANOF, KODIAK, AK 99615"
02AK5433,SUNSHINE HEALTH FOODS,"410 TRAINOR GATE RD., FAIRBANKS, AK 99701"
02AK6476,RAINBOW FOODS,"224 4TH STREET, JUNEAU, AK 99801"
02AK8910,RAIN COUNTRY NUTRIT,"319 MISSION ST, KETCHIKAN, AK 99901"
02AL0006,BECKY'S HEALTH FOOD,"2100 DECATUR HWY, GARDENDALE, AL 35071"
02AL0006A,BB'S HEALTH FOOD STORE & MORE,"PO BOX 1454, POINT CLEAR, AL 36564"
02AL0042,GNC #6543,"2199 TIGERTOWN PKWY, OPELIKA, AL 36801"
02AL0042,GNC #6543,"2199 TIGERTOWN PARKWAY, OPELIKA, AL 36801"
02AL0055,NATURES APOTHECARY,"7540 MEMORIAL PKWY SW SUITE P, HUNTSVILLE, AL 35802"
02AL0094,FOUNTAIN CITY HLTH FDS INC,"101 S MEMORIAL DRIVE, PRATTVILLE, AL 36067"
02AL0307,HONEY AND SPICE,"1251 GRAYSON VALLEY PKWY, BIRMINGHAM, AL 35235"
02AL0307,HONEY & SPICE,"1251 GRAYSON VALLEY PKWY, BIRMINGHAM, AL 35235"
02AL0353,GOLDEN TEMPLE HEALTH FOODS,"1110 N CHALKVILLE RD STE 148, TRUSSVILLE, AL 35173"
02AL0485,THE HEALTH HUT,"680 S SHILLINGER RD, MOBILE, AL 36695"
02AL0485,THE HEALTH HUT,"680 SCHILLINGER RD S, MOBILE, AL 36695"
02AL0644,FAIR HOPE H.F.,"280 EASTERN SHORE SHPG CTR, FAIR HOPE, AL 36532"
02AL1067,NATURE'S APOTHECARY INC.,"7441-B HWY 72 WEST, MADISON, AL 35758"
02AL1160,WELLWAY WHOLE HEALTH SHOPPE,"422 MARTIN ST SOUTH, PELL CITY, AL 35128"
02AL1160,WELLWAY WHOLE HEALTH SHOPPE,"422 MARTIN ST. S, PELL CITY, AL 35128"
02AL2050,NATURES APOTHECARY INC,"3215 N MEMORIAL PKWY, HUNTSVILLE, AL 35810"
02AL2345,HEALTHY HARVEYS ONE,"3183 A PELHAM PARKWAY, PELHAM, AL 35124"
02AL2808,SPROUTS FARMERS MKT #482,"5265 US HIGHWAY 280, BIRMINGHAM, AL 35242"
02AL3952,VIRGINIAS HEALTH FOODS,"3055A DAUPHIN ST, MOBILE, AL 36606"
02AL3952,VIRGINIAS HEALTH FOODS,"3055 A DAUPHIN ST, MOBILE, AL 36606"
02AL4260,VALLEY HEALTH FOODS,"117 S CHERRY ST, FLORENCE, AL 35630"
02AL4372,ENJOY HEALTH FOODS INC,"1608 HWY 78 EAST, JASPER, AL 35501"
02AL4796,ENTERPRISE HEALTH FOODS,"600 BOLL WEEVIL CIRCLE, ENTERPRISE, AL 36330"
02AL5244,SPROUTS FARMERS MKT #480,"5250 MEDFORD DR SUITE 120, HOOVER, AL 35244"
02AL5758,SPROUTS FARMERS MKT #481,"7504 HWY 72 W SUITE B, MADISON, AL 35758"
02AL6333,GOLDEN TEMPLE NATURAL,"1901 11TH AVE SOUTH, BIRMINGHAM, AL 35205"
02AL6494,BB'S HEALTH FOOD STR&MRE,"8154 STATE HWY 59 #205, FOLEY, AL 36535"
02AL6801,DAYSPRING NATURE SHOP,"1011 AVENUE C, OPELIKA, AL 36801"
02AL7005,BELINDA KAYS,"2021 HWY 280 BYPASS, PHOENIX CITY, AL 36867"
02AL7005,BELINDA KAY'S HEALTH STORE,"2021 280 BYP, PHENIX CITY, AL 36867"
02AL7550,FOUNTAIN CITY HEALTH FOODS,"101 S MEMORIAL DR, PRATTVILLE, AL 36067"
02AL8333,DOTHAN HEALTH FOODS,"3500 ROSS CLARK CIRCLE, DOTHAN, AL 36303"
02AL8458,APPLE A DAY HEALTH CTR,"280 N 3RD STREET, GADSDEN, AL 35901"
02AL8458,APPLE A DAY,"280 N 3RD STREET, GADSDEN, AL 35901"
02AL9925,HEALTHWISE FOODS,"5145 ATLANTA HWY, MONTGOMERY, AL 36109"
02AL9925,HEALTH WISE FOODS,"5147 ATLANTA HWY, MONTGOMERY, AL 36109-3319"
02AL9955,MANNA GROCERY,"2300 MCFARLAND BLV E #12, TUSCALOOSA, AL 35404"
02AR0292,UNIQUE SKIN      CW      @,"203 A FRANKLIN ST, HOT SPRINGS, AR 71913"
02AR0292,UNIQUE SKIN      CW,"203 A FRANKLIN ST, HOT SPRINGS, AR 71913"
02AR0338,NATURES WAY,"18 E 7TH ST, MOUNTAIN HOME, AR 72653"
02AR0850,COUNTRY NATURAL,"1801 W KINGS HWY STE 5, PARAGOULD, AR 72450"
02AR1105,HEIKE'S HOLISTIC HEALTH,"7760 N SAINT LOUIS ST, CAVE CITY, AR 72521"
02AR1197,NATURAL STATE NUTRITION CENTER,"PO BOX 113, GREERS FERRY, AR 72067"
02AR1212,MAIN STREET MARKET,"808 E Main St, Blytheville, AR 72315"
02AR1305,NG VITAMIN COTTAGE JB U138,"1315 S CARAWAY RD, JONESBORO, AR 72401"
02AR1973,NATURES WONDERS INC,"910-A HWY 65 NORTH, HARRISON, AR 72601"
02AR1973,NATURE'S WONDERS,"910 A HWY 62-65 N, HARRISON, AR 72601"
02AR1973,NATURE'S WONDERS      CW W,"910A 62 65 N, HARRISON, AR 72601"
02AR2227,NG VITAMIN COTTAGE LR U109,"9210 N RODNEY PARHAM RD, LITTLE ROCK, AR 72227"
02AR2401,THE TRUCK PATCH,"906 SOUTHWEST DR STE B, JONESBORO, AR 72401"
02AR2401,TRUCK PATCH,"906 SOUTHWEST DR STE B, JONESBORO, AR 72401"
02AR2576,VITAMINS PLUS #240,"9112 RODNEY PARHAM RD., LITTLE ROCK, AR 72205"
02AR4600,NG VITAMIN COTTAGE FA U095,"12612 W ALAMEDA PKWY, LAKEWOOD, CO 80228"
